!!! (Chk Chk Chk)	Wednesday June 30, 2010 at 11:59 p.m.	Club Soda	!!! (Chk Chk Chk)
Adam Saiked	Thursday July 6, 1989 at 8:30 p.m.	Spectrum de Montréal	Steps Ahead
Adam Smale	Sunday June 30, 2002 at 6 p.m.	General Motors Stage	Adam Smale
Adam Solomon	Monday July 6, 1998 at 7:30 p.m.	Scène Bleue Dry 	Adam Solomon and Tikisa 
Adrian Belew	Wednesday July 8, 1998 at 9 p.m.	Métropolis 	Projekct Two - A King Crimson Projekct
Adrian Legg	Sunday July 8, 2001 at 6:30 p.m.	Carrefour General Motors	Adrian Legg
Adrian Vedady	Thursday June 26, 2003 at 11 p.m.	Hôtel Wyndham	Thuryn Von Pranke Trio avec Adrian Vedady et Martin Auguste
Adrian Vedady	Friday June 27, 2003 at 11 p.m.	Hôtel Wyndham	
Adrian Vedady	Saturday June 28, 2003 at 11 p.m.	Hôtel Wyndham	
Adrian Vedady	Sunday June 29, 2003 at 11 p.m.	Hôtel Wyndham	
Adrian Vedady	Monday June 30, 2003 at 11 p.m.	Hôtel Wyndham	
Adrian Vedady	Tuesday July 1, 2003 at 11 p.m.	Hôtel Wyndham	
Adrian Vedady	Wednesday July 2, 2003 at 11 p.m.	Hôtel Wyndham	
Adrian Vedady	Thursday July 3, 2003 at 7 p.m.	Club du Maurier	Yannick Rieu Trio
Adrian Vedady	Thursday July 3, 2003 at 10 p.m.	Club du Maurier	
Adrian Vedady	Thursday July 3, 2003 at 11 p.m.	Hôtel Wyndham	Thuryn Von Pranke Trio avec Adrian Vedady et Martin Auguste
Adrian Vedady	Friday July 4, 2003 at 11 p.m.	Hôtel Wyndham	
Adrian Vedady	Saturday July 5, 2003 at 6 p.m.	Salle du Gésù	Yannick Rieu Special project
Adrian Vedady	Saturday July 5, 2003 at 11 p.m.	Hôtel Wyndham	Thuryn Von Pranke Trio avec Adrian Vedady et Martin Auguste
Adrian Vedady	Wednesday June 30, 2004 at 11:59 p.m.	Savoy du Métropolis	Trio Pulse Nu-Jazz Sessions
Adrian Vedady	Thursday July 1, 2004 at 11:59 p.m.	Savoy du Métropolis	
Adrian Vedady	Friday July 2, 2004 at 11:59 p.m.	Savoy du Métropolis	
Adrian Vedady	Saturday July 3, 2004 at 11:59 p.m.	Savoy du Métropolis	
Adrian Vedady	Sunday July 4, 2004 at 11:59 p.m.	Savoy du Métropolis	
Adrian Vedady	Tuesday July 6, 2004 at 11:59 p.m.	Savoy du Métropolis	
Adrian Vedady	Wednesday July 7, 2004 at 11:59 p.m.	Savoy du Métropolis	
Adrian Vedady	Thursday July 8, 2004 at 11:59 p.m.	Savoy du Métropolis	
Adrian Vedady	Friday July 9, 2004 at 11:59 p.m.	Savoy du Métropolis	
Adrian Vedady	Saturday July 10, 2004 at 11:59 p.m.	Savoy du Métropolis	
Adrian Vedady	Friday June 30, 2006 at 6 p.m.	Salle du Gésù	Yannick Rieu "2 x 3 = 5"
Adrian Vedady	Wednesday July 4, 2007 at 7 p.m.	Club Jazz TD Canada Trust	The Adrian Vedady Quintet
Adrian Vedady	Wednesday July 4, 2007 at 10 p.m.	Club Jazz TD Canada Trust	
Adrian Vedady	Friday July 6, 2007 at 6 p.m.	Gesù - Centre de créativité	Spectrum with Yannick Rieu Michel Donato Daniel Thouin Sylvain Provost Tony Albino Philippe Melancon Adien Vedady Jocelyn Tellier
Adrian Vedady	Friday July 3, 2009 at 11:59 p.m.	Savoy du Métropolis	Dan Thouin, Maxime St-Pierre, Adrian Vedady, Massimo Sansalone
Adrian Vedady	Saturday July 4, 2009 at 11:59 p.m.	Savoy du Métropolis	
Adrian Vedady	Sunday July 5, 2009 at 7 p.m.	Scène CBC/Radio-Canada	Adrian Vedady Quartet
Adrian Vedady	Sunday July 5, 2009 at 11:59 p.m.	Savoy du Métropolis	Dan Thouin, Maxime St-Pierre, Adrian Vedady, Massimo Sansalone
Adrian Vedady	Monday July 6, 2009 at 8 p.m.	Scène Rio Tinto Alcan	Tribute to Billie Holiday <em>Lady in satin</em>
Adrian Vedady	Monday July 6, 2009 at 10 p.m.	Scène Rio Tinto Alcan	
Adrian Vedady	Sunday July 12, 2009 at 8:30 p.m.	Upstairs	Adrian Vedady Quartet with Yannick Rieu
Adrian Vedady	Wednesday February 24, 2010 at 7 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	Adrian Vedady Quartet avec invité spécial Marc Copland 
Afel Bocoum	Saturday March 5, 2011 at 8 p.m.	Club Soda	Acoustic Africa
Afr[IKS]	Thursday June 28, 2001 at 9 p.m.	Carrefour General Motors	Afr[IKS]
Africa Fête	Saturday July 4, 1998 at 9 p.m.	Métropolis 	Africa Fête 
Africamania	Sunday July 3, 1994 at 9 p.m.	Amphithéâtre Diet Pepsi	Africamania
Africamania	Sunday July 3, 1994 at 11 p.m.	Amphithéâtre Diet Pepsi	
African Drums	Sunday July 2, 1995 at 8 p.m.	Salle Ludger-Duvernay	David Murray "World Saxophone Qt." 
