!!! (Chk Chk Chk)	Wednesday June 30, 2010 at 11:59 p.m.	Club Soda	!!! (Chk Chk Chk)
Dan Thouin	Wednesday July 2, 2003 at 10 p.m.	Labatt Bleue Légère Stage	Yannick Rieu Non Acoustique Project 
Dan Thouin	Saturday July 5, 2003 at 6 p.m.	Salle du Gésù	Yannick Rieu Special project
Dan Thouin	Sunday July 6, 2003 at 7 p.m.	Club du Maurier	Dialects
Dan Thouin	Sunday July 6, 2003 at 10 p.m.	Club du Maurier	
Dan Thouin	Tuesday July 6, 2004 at 6 p.m.	Gésù - Centre de créativité	Le Large ensemble
Dan Thouin	Thursday June 28, 2007 at 11:59 p.m.	Savoy du Métropolis	Dan Thouin <em>Projet Terra Firma</em>
Dan Thouin	Friday June 29, 2007 at 11:59 p.m.	Savoy du Métropolis	
Dan Thouin	Saturday June 30, 2007 at 11:59 p.m.	Savoy du Métropolis	
Dan Thouin	Sunday July 1, 2007 at 11:59 p.m.	Savoy du Métropolis	
Dan Thouin	Monday July 2, 2007 at 11:59 p.m.	Savoy du Métropolis	
Dan Thouin	Tuesday July 3, 2007 at 11:59 p.m.	Savoy du Métropolis	
Dan Thouin	Wednesday July 4, 2007 at 11:59 p.m.	Savoy du Métropolis	
Dan Thouin	Thursday July 5, 2007 at 11:59 p.m.	Savoy du Métropolis	
Dan Thouin	Friday July 6, 2007 at 11:59 p.m.	Savoy du Métropolis	
Dan Thouin	Saturday July 7, 2007 at 11:59 p.m.	Savoy du Métropolis	
Dan Thouin	Tuesday July 1, 2008 at 11 p.m.	Scène CBC/Radio-Canada BEST BUY	Daniel Thouin <i>Projet Terra Firma</i>
Dan Thouin	Friday July 3, 2009 at 6 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Le Large Ensemble
Dan Thouin	Friday July 3, 2009 at 11:59 p.m.	Savoy du Métropolis	Dan Thouin, Maxime St-Pierre, Adrian Vedady, Massimo Sansalone
Dan Thouin	Saturday July 4, 2009 at 11:59 p.m.	Savoy du Métropolis	
Dan Thouin	Sunday July 5, 2009 at 11:59 p.m.	Savoy du Métropolis	
Dan Thouin	Monday July 6, 2009 at 8 p.m.	Scène Rio Tinto Alcan	Tribute to Billie Holiday <em>Lady in satin</em>
Dan Thouin	Monday July 6, 2009 at 10 p.m.	Scène Rio Tinto Alcan	
Dan Thouin	Wednesday July 8, 2009 at 6 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Yannick Rieu
Dan Thouin	Friday June 25, 2010 at 11:30 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	Dan Thouin et ses musiciens
Dan Thouin	Saturday June 26, 2010 at 11:30 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
Dan Thouin	Sunday June 27, 2010 at 11:30 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
Dan Thouin	Monday June 28, 2010 at 11:30 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
Dan Thouin	Tuesday June 29, 2010 at 11 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
Dan Thouin	Wednesday June 30, 2010 at 11:30 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
Dan Thouin	Thursday July 1, 2010 at 11:30 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
Dan Thouin	Friday July 2, 2010 at 11:30 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
Dan Thouin	Saturday July 3, 2010 at 11:30 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
Dan Thouin	Sunday July 4, 2010 at 11:30 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
Dan Thouin	Monday July 5, 2010 at 11:30 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
The Dangerous Kitchen	Thursday June 30, 1994 at 9 p.m.	Salle multimédia du Musé d'art contemporain	Concert spécial - La musique de Frank Zappa The Dangerous Kitchen 
The Dangerous Kitchen	Friday July 1, 1994 at 9 p.m.	Salle multimédia du Musé d'art contemporain	
The Dangerous Kitchen	Saturday July 2, 1994 at 9 p.m.	Salle multimédia du Musé d'art contemporain	
The Dangerous Kitchen	Sunday July 3, 1994 at 9 p.m.	Salle multimédia du Musé d'art contemporain	
Dani Avron Quartet	Friday July 1, 1988 at 5:30 p.m.	Chapiteau Yogourt	Dani Avron Quartet
Dani Avron Quartet	Friday June 29, 1990 at 11 p.m.	Théâtre Alcan	Dani Avron Quartet 
Daniel Barnes	Thursday June 26, 2008 at 7 p.m.	Club Jazz TD Canada Trust	Daniel Barnes
Daniel Barnes	Thursday June 26, 2008 at 11 p.m.	Club Jazz TD Canada Trust	
Daniel Humair	Wednesday July 4, 1984 at 9 p.m.	Scène Maisonneuve	Jeanneau - Humair - Texier - Portal
Daniel Humair	Saturday July 7, 1984 at 7 p.m.	Spectrum de Montréal	Jeanneau / Humair / Texier / Portal
Daniel Humair	Sunday July 8, 1984 at 7:30 p.m.	Théâtre St-Denis	Hommage Au Jazz Français
Daniel Humair	Friday July 2, 2004 at 9:30 p.m.	Spectrum de Montréal	Michel Portal, Louis Sclavis, Daniel Humair and Henri Texier
Daniel Lanois	Monday June 30, 2003 at 6 p.m.	Métropolis	Daniel Lanois
Daniel Lanois	Monday June 30, 2003 at 9:30 p.m.	Métropolis	
Daniel Lanois	Friday July 8, 2005 at 6 p.m.	Métropolis	Daniel Lanois
Daniel Lanois	Friday July 8, 2005 at 9:30 p.m.	Métropolis	
Daniel Lanois	Tuesday July 4, 2006 at 9:30 p.m.	General Motors Stage	Tribute to Paul Simon
Daniel Lanois	Thursday July 6, 2006 at 8 p.m.	Salle Wilfrid Pelletier - PdA	Daniel Lanois with Emmylou Harris
Daniel Lanois	Friday July 7, 2006 at 1:30 p.m.	Salon Jeanne Mance	Daniel Lanois - SIMMM
Daniel Lanois	Tuesday July 1, 2008 at 9 p.m.	Cabaret Juste pour rire	Daniel Lanois
Daniel Lanois	Wednesday July 2, 2008 at 9 p.m.	Cabaret Juste pour rire	
Daniel Lanois	Thursday July 3, 2008 at 7 p.m.	Club Soda	
Daniel Lanois	Friday July 4, 2008 at 8:30 p.m.	Métropolis	
Daniel Lanois	Friday July 2, 2010 at 8:30 p.m.	Métropolis 	Daniel Lanois’ <i>Black Dub</i> - Concert cancelled
Daniel Lanois	Monday July 4, 2011 at 7 p.m.	Salle Wilfrid-Pelletier - PdA 	Daniel Lanois’ Black Dub
Daniel Lavoie	Saturday July 9, 1994 at 9 p.m.	Spectrum de Montréal	Daniel Lavoie et ses invité jazz : Muhammad Abdul Al-Khabyyr , "Slim" Williams et John Hughes Legend
Daniel Lessard	Saturday July 2, 1988 at 9:30 p.m.	Bibliothèque nationale	Daniel Lessard Quintet
Daniel Lessard	Thursday July 6, 1989 at 12 p.m.	Maison Alcan	Lee-Lessard-Groulx Trio 
Daniel Lessard	Wednesday July 4, 1990 at 8:30 p.m.	Scène du Complexe Desjardins	Quintette Daniel Lessard
Daniel Lessard	Saturday July 1, 1995 at 6 p.m.	Scène du Maurier Ltée 	Trio Daniel Lessard
Daniel Lessard	Tuesday July 1, 2003 at 7 p.m.	Club du Maurier	Daniel Lessard  et son Barocco quintette
Daniel Lessard	Tuesday July 1, 2003 at 11 p.m.	Club du Maurier	
Daniel Lessard	Wednesday July 7, 2004 at 7 p.m.	Club Jazz Banque TD Canada Trust Stage	Villemure ô Carré
Daniel Lessard	Wednesday July 7, 2004 at 10 p.m.	Club Jazz Banque TD Canada Trust Stage	
Daniel Lessard	Sunday July 10, 2005 at 7 p.m.	Club Jazz TD Canada Trust Stage	Top Hat Quartet
Daniel Lessard	Sunday July 10, 2005 at 10 p.m.	Club Jazz TD Canada Trust Stage	
Daniel Lessard	Sunday July 9, 2006 at 7 p.m.	Club Jazz Banque TD Canada Trust Stage	Trio Daniel Lessard - Pas à pas
Daniel Lessard	Sunday July 9, 2006 at 10 p.m.	Club Jazz Banque TD Canada Trust Stage	
Daniel Loyer	Thursday July 7, 1983 at 3 p.m.	Scène Émery	Daniel Loyer Quintet
Daniel Loyer	Friday July 6, 1984 at 5 p.m.	UQAM - Salle Marie-Gérin-Lajoie	Le Quartette de Daniel Loyer
Daniel Loyer	Sunday June 30, 1985 at 4 p.m.	Scène Émery	Daniel Loyer Quintet
Daniel Marcoux	Saturday July 11, 1998 at 10 p.m.	Terrasse Nescafé 	Linda Racine Quartet 
Daniel Marcoux	Saturday June 30, 2001 at 5:30 p.m.	Banque Nationale Stage	Linda Racine et le sextuor Daniel Marcoux
Daniel Mille	Wednesday July 5, 2000 at 7 p.m.	Salle du Gesù 	Eric Longsworth - Daniel Mille
Daniel Mille	Wednesday July 4, 2001 at 10:30 p.m.	Salle du Gésù	Daniel Mille Quintet
Daniel Mille	Saturday July 7, 2001 at 6 p.m.	Club Soda	Eric Longsworth avec Daniel Mille et Pierre Tanguay
Daniel Mille	Sunday July 2, 2006 at 10:30 p.m.	Salle du Gésù	Daniel Mille
Daniel Mille	Sunday June 27, 2010 at 10:30 p.m.	Gesù, Centre de créativité	Daniel Mille with Alfio Origlio, Jérôme Regard, Julien Alour and Andy Barron
Daniel Ponce	Sunday July 1, 1990 at 8:30 p.m.	Théâtre Port-Royal 	Hilton Ruiz avec Daniel Ponce aux percussions
Daniela Mercury	Thursday June 26, 2003 at 6 p.m.	Spectrum de Montréal	Daniela Mercury
Daniela Mercury	Sunday July 11, 2004 at 9 p.m.	General Motors Stage	Soleil de minuit
Daniela Mercury	Friday October 28, 2005 at 8 p.m.	Métropolis	Daniela Mercury
Danielle Martineau	Sunday July 12, 1992 at 8 p.m.	Scène Labatt	Danielle Martineau et Rockabayou
Danielle Martineau	Sunday July 12, 1992 at 11:30 p.m.	Le Grand Café	
Danielle Martineau	Friday July 2, 1993 at 8 p.m.	Scène Labatt Blues	Danielle Martineau et Rockabayou
Danielle Martineau	Friday July 2, 1993 at 11:30 p.m.	Le Grand Café	
Danilo Perez	Friday June 27, 1997 at 8:30 p.m.	Théâtre du Nouveau Monde	Gonzalo Rubalcaba Trio
Danilo Perez	Wednesday July 1, 1998 at 9:30 p.m.	Spectrum de Montréal 	Roy Haynes with John Patitucci and Danilo Perez
Danilo Perez	Sunday July 1, 2001 at 6 p.m.	Théâtre Maisonneuve - PdA	Wayne Shorter Quartet with John Patitucci, Brian Blade and Danilo Perez
Danilo Perez	Sunday July 1, 2001 at 7:30 p.m.	Monument National	Michael Brecker Solo &amp; Duets with Charlie Haden &amp; Danilo Perez
Danilo Perez	Thursday June 26, 2003 at 6 p.m.	Théâtre Maisonneuve - PdA	Wayne Shorter Quartet
Danilo Perez	Wednesday July 7, 2004 at 10:30 p.m.	Gésù - Centre de créativité	Danilo Perez Trio
Danilo Perez	Saturday July 1, 2006 at 6 p.m.	Théâtre Maisonneuve - PdA	Wayne Shorter Quartet avec Brian Blade, John Patitucci et Danilo Pérez
Danilo Perez	Friday June 29, 2007 at 6 p.m.	Théâtre Maisonneuve - PdA	Wayne Shorter Quartet
Danilo Perez	Saturday June 30, 2007 at 7:30 p.m.	Théâtre Jean-Duceppe - PdA	Mike Stern's Invitation Supergroup with Danilo Perez, John Patitucci, Dave Weckl
Danilo Rea	Thursday June 28, 2001 at 6 p.m.	Salle du Gésù	Duo Pietro Tonolo &amp; Danilo Rea
Danilo Rea	Saturday June 28, 2003 at 9:30 p.m.	Monument National	Danilo Rea / Stefano Bollani
Danilo Rea	Tuesday July 6, 2004 at 10:30 p.m.	Gésù - Centre de créativité	Aldo Romano, Danilo Rea et Remi Vignolo
Danish Radio Jazz Orchestra	Thursday June 26, 1997 at 11 p.m.	Salle du Gesù	Danish Radio Jazz Orchestra
Danny Gatton	Tuesday July 7, 1992 at 11 p.m.	Scène Bleu Légère	Danny Gatton
Danny Gatton	Wednesday July 8, 1992 at 9:30 p.m.	Scène Bleu Légère	
Danny Gatton	Wednesday July 8, 1992 at 11 p.m.	Scène Bleu Légère	
Danny Gatton	Thursday July 9, 1992 at 9:30 p.m.	Scène Bleu Légère	
Danny Gatton	Thursday July 9, 1992 at 11 p.m.	Scène Bleu Légère	
Danny Rood	Sunday July 2, 2006 at 7 p.m.	Loto-Québec Stage	Danny Rood
Dany Brillant	Sunday July 6, 1997 at 9 p.m.	Scène du Maurier	Dany Brillant 
Dany Brillant	Sunday July 6, 1997 at 11 p.m.	Scène du Maurier	
Dany Roy	Friday June 27, 2008 at 4 p.m.	Scène Rio Tinto Alcan	Dany Roy – Combo De L’université De Montréal
Dany Roy	Monday July 6, 2009 at 8 p.m.	Scène Rio Tinto Alcan	Tribute to Billie Holiday <em>Lady in satin</em>
Dany Roy	Monday July 6, 2009 at 10 p.m.	Scène Rio Tinto Alcan	
Darcy James Argue	Wednesday June 29, 2011 at 6 p.m.	Gesù, Centre de créativité	Darcy James Argue
Dario Galante	Wednesday July 4, 2001 at 8 p.m.	Club du Maurier	Boudrioua-Galante-Zanella
Dario Galante	Wednesday July 4, 2001 at 10 p.m.	Club du Maurier	
Darren Sigesmund	Wednesday June 30, 2010 at 8 p.m.	Scène CBC/Radio-Canada	Darren Sigesmund
Darren Sigesmund	Wednesday June 30, 2010 at 10 p.m.	Scène CBC/Radio-Canada	
Darryl Hall	Wednesday June 30, 2010 at 9:30 p.m.	Théâtre Maisonneuve - PdA	Gypsie Planet with Christian Escoudé, Marcel Azzola, Florin Niculescu, David Reinhardt, Darryl Hall and Jean-Baptiste Laya
Darryl Jones	Thursday June 27, 1991 at 8:30 p.m.	Spectrum de Montréal	Andy Summers
Darryl Jones	Friday June 28, 1991 at 6 p.m.	Spectrum de Montréal	
Darryl Jones	Saturday July 4, 2009 at 9:30 p.m.	Théâtre Maisonneuve - PdA 	<em>Miles from  India</em>
Datarock	Wednesday July 2, 2008 at 8:30 p.m.	Métropolis	Ladytron
Datevik Hovanesian	Saturday July 7, 2001 at 9 p.m.	Carrefour General Motors	Datevik Hovanesian and her Trio
Dave Bargeron	Saturday June 29, 1996 at 6 p.m.	Spectrum de Montréal	Howard Johnson and Gravity
Dave Bargeron	Friday July 6, 2001 at 6 p.m.	Théâtre Maisonneuve - PdA	Miles Evans and the Gil Evans Orchestra
Dave Brubeck	Saturday July 4, 1981 at 2 p.m.	Expo-Théâtre	Dave Brubeck
Dave Brubeck	Thursday July 4, 1985 at 7 p.m.	Théâtre St-Denis	An evening with Dave Brubeck
Dave Brubeck	Friday July 3, 1987 at 9 p.m.	Salle Wildrid-Pelletier, Place des Arts	Dave Brubeck et les musiciens de l'Orchestre symphonique de Montréal
Dave Brubeck	Friday June 28, 1991 at 8:30 p.m.	Salle Wilfrid-Pelletier	Dave Brubeck in <em>To Hope! A Celebration</em> with The Tudor Singers and orchestra
Dave Brubeck	Thursday July 8, 1993 at 8:30 p.m.	Salle Wilfrid-Pelletier	Gerry Mulligan Quartet / Dave Brubeck Quartet
Dave Brubeck	Monday July 5, 1999 at 8:30 p.m.	Théâtre Saint-Denis 	Dave Brubeck Quartet et le Big Band Diva 
Dave Brubeck	Tuesday July 6, 1999 at 8:30 p.m.	Théâtre Saint-Denis 	
Dave Brubeck	Saturday July 8, 2000 at 6 p.m.	Théâtre Maisonneuve - PdA	Angèle Dubeau et la Pietà Play Brubeck
Dave Brubeck	Saturday July 6, 2002 at 8:30 p.m.	Salle Wilfrid Pelletier - PdA	Dave Brubeck 80th and friends
Dave Brubeck	Saturday July 8, 2006 at 8 p.m.	Salle Wilfrid Pelletier - PdA	Dave Brubeck Quartet
Dave Brubeck	Friday July 4, 2008 at 9:30 p.m.	Théâtre Jean-Duceppe - PdA	Dave Brubeck Quartet And Octet
Dave Brubeck	Saturday July 5, 2008 at 9:30 p.m.	Théâtre Jean-Duceppe - PdA	Dave Brubeck Trio
Dave Brubeck	Saturday July 4, 2009 at 7:30 p.m.	Salle Wilfrid-Pelletier - PdA 	Dave Brubeck <em>Time Out: Take 50</em>
Dave Brubeck	Monday July 5, 2010 at 9 p.m.	Théâtre Maisonneuve - PdA	Dave Brubeck Quartet
Dave Brubeck	Tuesday June 28, 2011 at 9:30 p.m.	Théâtre Maisonneuve - PdA	The Dave Brubeck Quartet
Dave Burrell	Friday June 30, 1995 at 8 p.m.	Salle Ludger-Duvernay	David Murray 
Dave Douglas	Sunday July 5, 1998 at 11 p.m.	Théâtre du Nouveau Monde 	Dave Douglas Quartet
Dave Douglas	Friday July 7, 2000 at 6 p.m.	Théâtre Maisonneuve - PdA	John Zorn "Masada"
Dave Douglas	Friday July 7, 2000 at 9 p.m.	Spectrum de Montréal 	Dave Douglas Sextet
Dave Douglas	Saturday July 10, 2004 at 9:30 p.m.	Spectrum de Montréal	Dave Douglas "Vacation Blues" with Roswell Rudd,  Brad Jones and Barry Altschul
Dave Douglas	Thursday June 29, 2006 at 6 p.m.	Théâtre Maisonneuve - PdA	John Zorn Acoustic Masada
Dave Douglas	Wednesday June 30, 2010 at 10:30 p.m.	Gesù, Centre de créativité	Dave Douglas and Keystone, <i>Spark of Being</i>
Dave Douglas	Thursday July 1, 2010 at 9:30 p.m.	Théâtre Maisonneuve - PdA	Special evening with John Zorn's <i>Masada Marathon</i> with Uri Caine, Mark Feldman, Marc Ribot, Cyro Baptista, Dave Douglas and many more
Dave Fiuczynski	Friday July 2, 2010 at 8 p.m.	Théâtre Jean-Duceppe - PdA 	The Jack DeJohnette Group with Rudresh Mahanthappa, Dave Fiuczynski, George Colligan, Jerome Harris
Dave Gelfand	Saturday June 27, 1987 at 7 p.m.	Café de la Place (PdA)	James Gelfand / Dave Gelfand
Dave Gelfand	Thursday July 4, 1996 at 5 p.m.	Salle Ludger-Duvernay, Monument National	Dave Turner Quartet
Dave Gross	Tuesday July 3, 2007 at 7 p.m.	Scène Loto-Québec	Dave Gross
Dave Hole	Wednesday July 5, 1995 at 9 p.m.	Scène Labatt Blues	Dave Hole
Dave Hole	Wednesday July 5, 1995 at 11:59 p.m.	Spectrum de Montréal	
Dave Holland	Friday June 29, 1990 at 6 p.m.	Salle Wilfrid-Pelletier, PdA	Spectacle d'ouverture avec Jack Dejohnette, Pat Metheny, Herbie Hancook et Dave Holland
Dave Holland	Friday June 29, 1990 at 9:30 p.m.	Salle Wilfrid-Pelletier, PdA	
Dave Holland	Sunday July 5, 1992 at 5 p.m.	Cinquième Salle PDA/MACM	Dave Holland 
Dave Holland	Friday July 7, 1995 at 6 p.m.	Théâtre Maisonneuve 	Historical Reunion " The Gateway Trio" John Abercrombie, Jack DeJohnette and Dave Holland
Dave Holland	Thursday June 26, 1997 at 9 p.m.	Spectrum de Montréal	Michael Brecker - Tales from the Hudson's Quintet
Dave Holland	Friday June 27, 1997 at 8:30 p.m.	Salle Wilfrid-Pelletier - PdA	Herbie Hancock's New Standards 
Dave Holland	Thursday July 1, 1999 at 8:30 p.m.	Théâtre Saint-Denis 	Cassandra Wilson "Traveling Miles" 
Dave Holland	Saturday July 3, 1999 at 1 p.m.	Amphithéâtre Hôtel Windham 	Dave Holland 
Dave Holland	Sunday July 4, 1999 at 11 p.m.	Théâtre du Gesù 	Dave Holland and Anouar Brahem Duet 
Dave Holland	Monday July 5, 1999 at 7:30 p.m.	Monument national - Ludger Duvernay 	Joe Lovano with John Scofield, Dave Holland and Al Foster 
Dave Holland	Thursday June 29, 2000 at 7:30 p.m.	Monument National - Ludger Duvernay 	Dave Holland with Herbie Hancock and Gene Jackson 
Dave Holland	Friday June 30, 2000 at 7:30 p.m.	Monument National - Ludger Duvernay 	Dave Holland Gateway Trio 
Dave Holland	Saturday July 1, 2000 at 7:30 p.m.	Monument National - Ludger Duvernay 	Dave Holland Big Band
Dave Holland	Sunday July 2, 2000 at 7:30 p.m.	Monument National - Ludger Duvernay 	Dave Holland Quintet
Dave Holland	Monday July 3, 2000 at 7:30 p.m.	Monument National - Ludger Duvernay 	Dave Holland duet with Jim Hall 
Dave Holland	Friday June 28, 2002 at 9 p.m.	Spectrum de Montréal	Dave Holland Quintet
Dave Holland	Thursday June 26, 2003 at 7 p.m.	Monument National	Jack Dejohnette with Dave Holland and Herbie Hancock
Dave Holland	Saturday June 28, 2003 at 9:30 p.m.	Spectrum de Montréal	Kenny Wheeler and John Taylor
Dave Holland	Sunday June 29, 2003 at 6 p.m.	Théâtre Maisonneuve - PdA	Dave Holland Big Band
Dave Holland	Saturday October 2, 2004 at 8 p.m.	Théâtre Outremont 	Dave Holland Quintet
Dave Holland	Friday July 1, 2005 at 6 p.m.	Théâtre Maisonneuve- PdA	Dave Holland Big Band
Dave Holland	Thursday June 28, 2007 at 10 p.m.	Spectrum de Montréal	Dave Holland Quintet
Dave Holland	Wednesday July 1, 2009 at 9:30 p.m.	Théâtre Maisonneuve - PdA 	The Monterey Quartet with Dave Holland / Gonzalo Rubalcaba / Chris Potter / Eric Harland
Dave Holland	Tuesday June 28, 2011 at 8 p.m.	Théâtre Jean-Duceppe - PdA 	Dave Holland Duo with Kenny Barron
Dave Holland	Wednesday June 29, 2011 at 8 p.m.	Théâtre Jean-Duceppe - PdA 	Dave Holland Quintet
Dave Holland	Thursday June 30, 2011 at 8 p.m.	Théâtre Jean-Duceppe - PdA 	Anouar Brahem <em>Thimar</em> with Dave Holland and John Surman
Dave Restivo	Monday July 2, 2001 at 8 p.m.	Club du Maurier	Dave Restivo
Dave Restivo	Monday July 2, 2001 at 10 p.m.	Club du Maurier	
Dave Restivo	Monday July 3, 2006 at 6 p.m.	Salle du Gésù	Christine Jensen
Dave Samuels	Friday June 28, 1996 at 6 p.m.	Spectrum de Montréal	Caribbean Jazz Project with Paquito D'Rivera, Dave Samuels and Andy Narell 
Dave Samuels	Monday July 6, 1998 at 9:30 p.m.	Spectrum de Montréal 	Tribute to Cal Tjader avec Eddie Palmieri, Dave Valentin, Dave Samuels et musiciens 
Dave Thompson	Friday July 5, 1996 at 9 p.m.	Scène Labatt Blues	Dave Thompson
Dave Thompson	Friday July 5, 1996 at 11:59 p.m.	Spectrum de Montréal	
Dave Turner	Sunday July 3, 1983 at 7 p.m.	Théâtre St-Denis	V.S.O.P. II
Dave Turner	Wednesday July 4, 1984 at 8:30 p.m.	UQAM - Salle Marie-Gérin-Lajoie	Dave Turner / Ron Di Lauro Sextet
Dave Turner	Friday June 28, 1985 at 7 p.m.	Théâtre St-Denis	Tony Bennett
Dave Turner	Friday June 27, 1986 at 8:30 p.m.	Ontario Stage	Dave Turner Sextet
Dave Turner	Tuesday June 30, 1987 at 8:30 p.m.	Bibliothèque Nationale du Québec	Dave Turner Quartet
Dave Turner	Friday July 7, 1989 at 6 p.m.	Théâtre Port-Royal	Vic Vogel, Dave Turner and Yannick Rieu
Dave Turner	Friday July 5, 1991 at 10 p.m.	Théâtre du Nouveau Monde	Programme double "Alto Alto"`: Dave Turner Quartet / Christopher Hollyday Quartet
Dave Turner	Thursday July 4, 1996 at 5 p.m.	Salle Ludger-Duvernay, Monument National	Dave Turner Quartet
Dave Turner	Thursday July 2, 1998 at 11 p.m.	Théâtre du Nouveau Monde 	Dave Turner Latin Sextet 
Dave Turner	Thursday July 5, 2007 at 10 p.m.	Upstairs	Dave Turner And The Earth Tones
Dave Turner	Tuesday June 29, 2010 at 8:30 p.m.	House of Jazz	Josh Rager with Dave Turner
Dave Valentin	Wednesday July 3, 1991 at 6 p.m.	Spectrum de Montréal	GRP All Stars 
Dave Valentin	Monday July 6, 1998 at 9:30 p.m.	Spectrum de Montréal 	Tribute to Cal Tjader avec Eddie Palmieri, Dave Valentin, Dave Samuels et musiciens 
Dave Van Ronk	Friday July 10, 1998 at 8 p.m.	Terrasse du Casino de Montréal 	Dave Van Ronk 
Dave Van Ronk	Saturday July 11, 1998 at 8 p.m.	Terrasse du Casino de Montréal 	
Dave Weckl	Friday June 30, 1989 at 6 p.m.	Théâtre St-Denis	Chick Corea Akoustic Band avec John Patitucci et Dave Weckl
Dave Weckl	Saturday June 30, 2007 at 7:30 p.m.	Théâtre Jean-Duceppe - PdA	Mike Stern's Invitation Supergroup with Danilo Perez, John Patitucci, Dave Weckl
Dave Weld	Saturday June 28, 1997 at 9 p.m.	Scène Labatt Blues	Lil'Ed With Dave Weld &amp; The Imperial Flames 
Dave Weld	Saturday June 28, 1997 at 11:59 p.m.	Spectrum de Montréal	
Dave Young	Friday July 5, 1985 at 7 p.m.	Théâtre St-Denis	Wynton Marsalis Quintet
Dave Young	Saturday June 29, 1991 at 6 p.m.	Spectrum de Montréal	Barney Kessel 
David "Fathead" Newman	Tuesday July 3, 1990 at 8:30 p.m.	On René-Levesque Boulevard	Célia Cruz and Oscar D'Leon with guests: David « Fathead » Newman and Chico Freeman
David "Fathead" Newman	Saturday July 3, 1993 at 6 p.m.	Théâtre Maisonneuve	Herbie Mann Reunion Band
David Amram	Saturday July 3, 2004 at 12 p.m.	Place du Complexe Desjardins Stage	David Amram
David Amram	Saturday July 3, 2004 at 9 p.m.	Carrefour General Motors	
David Amram	Tuesday July 1, 2008 at 8:30 p.m.	The Upstairs Jazz Bar &amp; Grill	David Amram Trio Mettant En Vedette Normand Guilbeault Et Pierre Tanguay
David Bellemare	Wednesday July 5, 2006 at 4 p.m.	Cégep du Vieux-Montréal	David Bellemare - Atelier Sax - SIMMM
David Benoît	Wednesday July 3, 1991 at 6 p.m.	Spectrum de Montréal	GRP All Stars 
David Binney	Thursday July 4, 2002 at 10:30 p.m.	Monument National	Thom Gossage - Other Voices with special guest David Binney
David Binney	Saturday June 30, 2007 at 10:30 p.m.	Gesù - Centre de créativité	David Binney Quartet With Brian Blade • Graig Taborn • Scott Colley
